Offset-Description                                                                   
0000 - Byte              299D8479D00 : 136             29A17332A40 : 136             
00F0 - Float             299D8479DF0 : -6.994708147E16 29A17332B30 : -6.994708147E16 
00F4 - Double            299D8479DF4 : 3.2855365448442929A17332B34 : 3.28553654484429E-321
00FC - max hp            299D8479DFC : 500             29A17332B3C : 55              
0100 - Float             299D8479E00 : 500             29A17332B40 : 55              
0104 - 4 Bytes           299D8479E04 : 0               29A17332B44 : 0               
0108 - 4 Bytes           299D8479E08 : 3713901504      29A17332B48 : 3726075264      
010C - 4 Bytes           299D8479E0C : 665             29A17332B4C : 665             
0110 - 4 Bytes           299D8479E10 : 2               29A17332B50 : 3               
0114 - 4 Bytes           299D8479E14 : 4               29A17332B54 : 4               
0118 - Pointer           299D8479E18 : P->00000002     29A17332B58 : P->00000004     
0120 - Pointer           299D8479E20 : P->299DDC98B40  29A17332B60 : P->299DE175280  
0128 - 4 Bytes           299D8479E28 : 2               29A17332B68 : 1               
012C - 4 Bytes           299D8479E2C : 4               29A17332B6C : 4               
0130 - 4 Bytes           299D8479E30 : 2               29A17332B70 : 1               
0134 - 4 Bytes           299D8479E34 : 0               29A17332B74 : 0               
0138 - 4 Bytes           299D8479E38 : 3706353536      29A17332B78 : 3726068992      
013C - 4 Bytes           299D8479E3C : 665             29A17332B7C : 665             
0140 - 4 Bytes           299D8479E40 : 3               29A17332B80 : 3               
0144 - 4 Bytes           299D8479E44 : 4               29A17332B84 : 4               
0148 - 4 Bytes           299D8479E48 : 4               29A17332B88 : 4               
014C - 4 Bytes           299D8479E4C : 0               29A17332B8C : 0               
0150 - Pointer           299D8479E50 : P->299DD5DF400  29A17332B90 : P->299DE174400  
0158 - Float             299D8479E58 : 4.203895393E-45 29A17332B98 : 1.401298464E-45 
015C - Float             299D8479E5C : 5.605193857E-45 29A17332B9C : 5.605193857E-45 
0160 - 4 Bytes           299D8479E60 : 4               29A17332BA0 : 1               
0164 - 4 Bytes           299D8479E64 : 0               29A17332BA4 : 0               
0168 - 4 Bytes           299D8479E68 : 3718589120      29A17332BA8 : 3726066752      
016C - Double            299D8479E6C : 4.2439919104842E29A17332BAC : 2.12199611951893E-314
0174 - Float             299D8479E74 : 5.605193857E-45 29A17332BB4 : 5.605193857E-45 
0178 - Float             299D8479E78 : 2.802596929E-45 29A17332BB8 : 1.401298464E-45 
017C - Float             299D8479E7C : 0               29A17332BBC : 0               
0180 - 4 Bytes           299D8479E80 : 3718987776      29A17332BC0 : 0               
0184 - 4 Bytes           299D8479E84 : 665             29A17332BC4 : 0               
0188 - 4 Bytes           299D8479E88 : 1               29A17332BC8 : 0               
018C - 4 Bytes           299D8479E8C : 4               29A17332BCC : 0               
0190 - 4 Bytes           299D8479E90 : 1               29A17332BD0 : 2               
0194 - 4 Bytes           299D8479E94 : 0               29A17332BD4 : 0               
0198 - Pointer           299D8479E98 : P->299DDBF3600  29A17332BD8 : P->299DE17B640  
01A0 - 4 Bytes           299D8479EA0 : 1               29A17332BE0 : 1               
01A4 - 4 Bytes           299D8479EA4 : 4               29A17332BE4 : 4               
01A8 - 4 Bytes           299D8479EA8 : 1               29A17332BE8 : 1               
01AC - Double            299D8479EAC : 0               29A17332BEC : -1.82000379349477E145
01B4 - Float             299D8479EB4 : 0               29A17332BF4 : 9.318634788E-43 
01B8 - 4 Bytes (Hex)     299D8479EB8 : 00000000        29A17332BF8 : 00000001        
01BC - 4 Bytes           299D8479EBC : 0               29A17332BFC : 4               
01C0 - 4 Bytes           299D8479EC0 : 2               29A17332C00 : 1               
01C4 - 4 Bytes           299D8479EC4 : 0               29A17332C04 : 0               
01C8 - 4 Bytes           299D8479EC8 : 3722033984      29A17332C08 : 0               
01CC - 4 Bytes           299D8479ECC : 665             29A17332C0C : 0               
01D0 - 4 Bytes           299D8479ED0 : 1               29A17332C10 : 0               
01D4 - 4 Bytes           299D8479ED4 : 4               29A17332C14 : 0               
01D8 - 4 Bytes           299D8479ED8 : 1               29A17332C18 : 2               
01DC - 4 Bytes           299D8479EDC : 0               29A17332C1C : 0               
01E0 - 4 Bytes           299D8479EE0 : 0               29A17332C20 : 0               
01E4 - Double            299D8479EE4 : 0               29A17332C24 : 0               
01EC - Float             299D8479EEC : 0               29A17332C2C : 0               
01F0 - Float             299D8479EF0 : 0               29A17332C30 : 0               
01F4 - Float             299D8479EF4 : 0               29A17332C34 : 0               
01F8 - 4 Bytes           299D8479EF8 : 0               29A17332C38 : 0               
01FC - 4 Bytes           299D8479EFC : 0               29A17332C3C : 0               
0200 - hp                299D8479F00 : 375             29A17332C40 : 27.5            
0204 - 4 Bytes           299D8479F04 : 1               29A17332C44 : 1               
0208 - 4 Bytes           299D8479F08 : 1061158912      29A17332C48 : 1065353216      
020C - 4 Bytes           299D8479F0C : 1               29A17332C4C : 1               
0210 - 4 Bytes           299D8479F10 : 0               29A17332C50 : 10062683        
0214 - 4 Bytes           299D8479F14 : 0               29A17332C54 : 10062683        
0218 - Pointer           299D8479F18 : P->4192D73940A0729A17332C58 : P->998B5B00998B5B
0220 - Pointer           299D8479F20 : P->00000000     29A17332C60 : P->00000000     
0228 - 4 Bytes           299D8479F28 : 0               29A17332C68 : 0               
022C - 4 Bytes           299D8479F2C : 0               29A17332C6C : 0               
0230 - 4 Bytes           299D8479F30 : 4165419584      29A17332C70 : 0               
0234 - 4 Bytes           299D8479F34 : 665             29A17332C74 : 0               
0238 - 4 Bytes           299D8479F38 : 4294967295      29A17332C78 : 0               
023C - 4 Bytes           299D8479F3C : 26              29A17332C7C : 0               
0240 - 4 Bytes           299D8479F40 : 2857885696      29A17332C80 : 2858747392      
0244 - 4 Bytes           299D8479F44 : 665             29A17332C84 : 665             
0248 - 4 Bytes           299D8479F48 : 1               29A17332C88 : 1               
024C - 4 Bytes           299D8479F4C : 0               29A17332C8C : 0               
0250 - 4 Bytes           299D8479F50 : 4294967295      29A17332C90 : 4294967295      
0254 - 4 Bytes           299D8479F54 : 3               29A17332C94 : 15              
0258 - 4 Bytes           299D8479F58 : 2859703808      29A17332C98 : 2858637312      
025C - 4 Bytes           299D8479F5C : 665             29A17332C9C : 665             
0260 - Byte              299D8479F60 : 1               29A17332CA0 : 1               
0261 - Byte              299D8479F61 : 0               29A17332CA1 : 0               
0262 - Byte              299D8479F62 : 0               29A17332CA2 : 0               
0263 - 2 Bytes           299D8479F63 : 0               29A17332CA3 : 5632            
0265 - Byte              299D8479F65 : 0               29A17332CA5 : 0               
0266 - Byte              299D8479F66 : 0               29A17332CA6 : 0               
0267 - Byte              299D8479F67 : 0               29A17332CA7 : 0               
0268 - 4 Bytes           299D8479F68 : 4294967295      29A17332CA8 : 4294967295      
026C - 4 Bytes           299D8479F6C : 2               29A17332CAC : 9               
0270 - 4 Bytes           299D8479F70 : 2859739648      29A17332CB0 : 2858618880      
0274 - 4 Bytes           299D8479F74 : 665             29A17332CB4 : 665             
0278 - 4 Bytes           299D8479F78 : 1               29A17332CB8 : 1               
027C - 4 Bytes           299D8479F7C : 0               29A17332CBC : 1065353216      
0280 - Pointer           299D8479F80 : P->7FFFFFFFF    29A17332CC0 : P->7FFFFFFFF    
0288 - 4 Bytes           299D8479F88 : 2859232256      29A17332CC8 : 2858756608      
028C - 4 Bytes (Hex)     299D8479F8C : 00000299        29A17332CCC : 00000299        
0290 - Pointer           299D8479F90 : P->497F65370000029A17332CD0 : P->3F80000000000001
0298 - 4 Bytes (Hex)     299D8479F98 : FFFFFFFF        29A17332CD8 : FFFFFFFF        
029C - 4 Bytes           299D8479F9C : 11              29A17332CDC : 13              
02A0 - Byte              299D8479FA0 : 0               29A17332CE0 : 0               
02A1 - Byte              299D8479FA1 : 38              29A17332CE1 : 102             
02A2 - Byte              299D8479FA2 : 114             29A17332CE2 : 98              
02A3 - Byte              299D8479FA3 : 170             29A17332CE3 : 170             
02A4 - 4 Bytes           299D8479FA4 : 665             29A17332CE4 : 665             
02A8 - Pointer           299D8479FA8 : P->500000001    29A17332CE8 : P->998B5B00000001
02B0 - 4 Bytes           299D8479FB0 : 2               29A17332CF0 : 4294967295      
02B4 - 4 Bytes           299D8479FB4 : 7               29A17332CF4 : 3               
02B8 - 4 Bytes           299D8479FB8 : 2859432448      29A17332CF8 : 2858134528      
02BC - 4 Bytes           299D8479FBC : 665             29A17332CFC : 665             
02C0 - Pointer           299D8479FC0 : P->00000008     29A17332D00 : P->998B5B00000001
02C8 - Pointer           299D8479FC8 : P->9FFFFFFFF    29A17332D08 : P->1FFFFFFFF    
02D0 - 4 Bytes           299D8479FD0 : 3756478976      29A17332D10 : 2857946624      
02D4 - 4 Bytes           299D8479FD4 : 665             29A17332D14 : 665             
02D8 - 4 Bytes           299D8479FD8 : 17039360        29A17332D18 : 1               
02DC - 4 Bytes           299D8479FDC : 6               29A17332D1C : 10062683        
02E0 - 4 Bytes           299D8479FE0 : 3568545632      29A17332D20 : 4294967295      
02E4 - 4 Bytes           299D8479FE4 : 665             29A17332D24 : 8               
02E8 - 4 Bytes           299D8479FE8 : 4               29A17332D28 : 2858559488      
02EC - 4 Bytes           299D8479FEC : 4               29A17332D2C : 665             
02F0 - 4 Bytes           299D8479FF0 : 0               29A17332D30 : 1               
02F4 - 4 Bytes           299D8479FF4 : 0               29A17332D34 : 10062683        
02F8 - 4 Bytes           299D8479FF8 : 0               29A17332D38 : 4               
02FC - 4 Bytes           299D8479FFC : 0               29A17332D3C : 3               
0300 - 4 Bytes           299D847A000 : 3278393184      29A17332D40 : 2859530752      
0304 - 4 Bytes           299D847A004 : 665             29A17332D44 : 665             
0308 - 4 Bytes           299D847A008 : 1               29A17332D48 : 1               
030C - 4 Bytes           299D847A00C : 1               29A17332D4C : 10062683        
0310 - 4 Bytes           299D847A010 : 0               29A17332D50 : 2               
0314 - Double            299D847A014 : 0               29A17332D54 : -1.04030474811079E-104
031C - Float             299D847A01C : 0               29A17332D5C : 9.318634788E-43 
0320 - 4 Bytes           299D847A020 : 100728896       29A17332D60 : 2               
0324 - 4 Bytes           299D847A024 : 1051371084      29A17332D64 : 10062683        
0328 - Double            299D847A028 : 5.1944633363527129A17332D68 : 1.48539705407094E-313
0330 - Float             299D847A030 : 0               29A17332D70 : 1.410082223E-38 
0334 - Double            299D847A034 : 0               29A17332D74 : 9.09409307835344E-306
033C - 4 Bytes           299D847A03C : 0               29A17332D7C : 10062683        
0340 - 4 Bytes           299D847A040 : 0               29A17332D80 : 16771224        
0344 - 4 Bytes           299D847A044 : 0               29A17332D84 : 16771224        
0348 - 4 Bytes           299D847A048 : 0               29A17332D88 : 16771224        
034C - 4 Bytes           299D847A04C : 0               29A17332D8C : 16771224        
0350 - 4 Bytes           299D847A050 : 0               29A17332D90 : 10062683        
0354 - 4 Bytes           299D847A054 : 0               29A17332D94 : 10062683        
0358 - Pointer           299D847A058 : P->00000000     29A17332D98 : P->998B5B00998B5B
0360 - Pointer           299D847A060 : P->00000000     29A17332DA0 : P->FFE89800FFE898
0368 - 4 Bytes           299D847A068 : 0               29A17332DA8 : 16771224        
036C - 4 Bytes           299D847A06C : 0               29A17332DAC : 16771224        
0370 - 4 Bytes           299D847A070 : 0               29A17332DB0 : 10062683        
0374 - 4 Bytes           299D847A074 : 0               29A17332DB4 : 10062683        
0378 - 4 Bytes           299D847A078 : 0               29A17332DB8 : 10062683        
037C - 4 Bytes           299D847A07C : 0               29A17332DBC : 10062683        
0380 - 4 Bytes           299D847A080 : 0               29A17332DC0 : 10062683        
0384 - 4 Bytes           299D847A084 : 0               29A17332DC4 : 10062683        
0388 - 4 Bytes           299D847A088 : 0               29A17332DC8 : 10062683        
038C - 4 Bytes           299D847A08C : 0               29A17332DCC : 10062683        
0390 - Pointer           299D847A090 : P->00000000     29A17332DD0 : P->998B5B00998B5B
0398 - Float             299D847A098 : 0               29A17332DD8 : 1.410082223E-38 
039C - Float             299D847A09C : 0               29A17332DDC : 1.410082223E-38 
03A0 - 4 Bytes           299D847A0A0 : 0               29A17332DE0 : 16771224        
03A4 - 4 Bytes           299D847A0A4 : 0               29A17332DE4 : 16771224        
03A8 - 4 Bytes           299D847A0A8 : 0               29A17332DE8 : 16771224        
03AC - Double            299D847A0AC : 0               29A17332DEC : 9.09409308683846E-306
03B4 - Float             299D847A0B4 : 0               29A17332DF4 : 1.410082223E-38 
03B8 - Float             299D847A0B8 : 0               29A17332DF8 : 1.410082223E-38 
03BC - Float             299D847A0BC : 0               29A17332DFC : 1.410082223E-38 
03C0 - 4 Bytes           299D847A0C0 : 0               29A17332E00 : 10062683        
03C4 - 4 Bytes           299D847A0C4 : 0               29A17332E04 : 10062683        
03C8 - 4 Bytes           299D847A0C8 : 0               29A17332E08 : 10062683        
03CC - 4 Bytes           299D847A0CC : 0               29A17332E0C : 10062683        
03D0 - 4 Bytes           299D847A0D0 : 0               29A17332E10 : 16771224        
03D4 - 4 Bytes           299D847A0D4 : 0               29A17332E14 : 16771224        
03D8 - Pointer           299D847A0D8 : P->00000000     29A17332E18 : P->FFE89800FFE898
03E0 - 4 Bytes           299D847A0E0 : 0               29A17332E20 : 10062683        
03E4 - 4 Bytes           299D847A0E4 : 0               29A17332E24 : 10062683        
03E8 - 4 Bytes           299D847A0E8 : 0               29A17332E28 : 10062683        
03EC - Double            299D847A0EC : 0               29A17332E2C : 9.09409307835344E-306
03F4 - Float             299D847A0F4 : 0               29A17332E34 : 1.410082223E-38 
03F8 - 4 Bytes           299D847A0F8 : 0               29A17332E38 : 10062683        
03FC - 4 Bytes           299D847A0FC : 0               29A17332E3C : 10062683        
0400 - 4 Bytes           299D847A100 : 3               29A17332E40 : 16771224        
0404 - 4 Bytes           299D847A104 : 0               29A17332E44 : 16771224        
0408 - 4 Bytes           299D847A108 : 0               29A17332E48 : 16771224        
040C - 4 Bytes           299D847A10C : 0               29A17332E4C : 16771224        
0410 - 4 Bytes           299D847A110 : 0               29A17332E50 : 10062683        
0414 - 4 Bytes           299D847A114 : 0               29A17332E54 : 10062683        
0418 - 4 Bytes           299D847A118 : 0               29A17332E58 : 10062683        
041C - 4 Bytes           299D847A11C : 0               29A17332E5C : 10062683        
0420 - 4 Bytes           299D847A120 : 0               29A17332E60 : 10062683        
0424 - 4 Bytes           299D847A124 : 0               29A17332E64 : 10062683        
0428 - Float             299D847A128 : 0               29A17332E68 : 1.410082223E-38 
042C - Float             299D847A12C : 0               29A17332E6C : 1.410082223E-38 
0430 - Float             299D847A130 : 0               29A17332E70 : 2.350149044E-38 
0434 - Float             299D847A134 : 0               29A17332E74 : 2.350149044E-38 
0438 - 4 Bytes           299D847A138 : 4294967295      29A17332E78 : 16771224        
043C - 4 Bytes           299D847A13C : 0               29A17332E7C : 16771224        
0440 - 4 Bytes           299D847A140 : 0               29A17332E80 : 10062683        
0444 - 4 Bytes           299D847A144 : 0               29A17332E84 : 10062683        
0448 - 4 Bytes           299D847A148 : 0               29A17332E88 : 10062683        
044C - 4 Bytes           299D847A14C : 0               29A17332E8C : 10062683        
0450 - 4 Bytes           299D847A150 : 0               29A17332E90 : 10062683        
0454 - 4 Bytes           299D847A154 : 0               29A17332E94 : 10062683        
0458 - Pointer           299D847A158 : P->299F8474840  29A17332E98 : P->998B5B00998B5B
0460 - Pointer           299D847A160 : P->18FFFFFFFF   29A17332EA0 : P->00000000     
0468 - 4 Bytes           299D847A168 : 25              29A17332EA8 : 0               
046C - 4 Bytes           299D847A16C : 0               29A17332EAC : 0               
0470 - 4 Bytes           299D847A170 : 4165421120      29A17332EB0 : 0               
0474 - 4 Bytes           299D847A174 : 665             29A17332EB4 : 0               
0478 - 4 Bytes           299D847A178 : 4294967295      29A17332EB8 : 0               
047C - 4 Bytes           299D847A17C : 25              29A17332EBC : 0               
0480 - 4 Bytes           299D847A180 : 750512584       29A17332EC0 : 0               
0484 - 4 Bytes           299D847A184 : 32759           29A17332EC4 : 0               
0488 - 4 Bytes           299D847A188 : 262216          29A17332EC8 : 1181198693      
048C - 4 Bytes           299D847A18C : 336901          29A17332ECC : 1177272228      
0490 - 4 Bytes           299D847A190 : 2858053120      29A17332ED0 : 1169919952      
0494 - 4 Bytes           299D847A194 : 665             29A17332ED4 : 0               
0498 - 4 Bytes           299D847A198 : 124970          29A17332ED8 : 729798541       
049C - 4 Bytes           299D847A19C : 0               29A17332EDC : 32759           
04A0 - Byte              299D847A1A0 : 48              29A17332EE0 : 42              
04A1 - Byte              299D847A1A1 : 34              29A17332EE1 : 224             
04A2 - Byte              299D847A1A2 : 137             29A17332EE2 : 109             
04A3 - 2 Bytes           299D847A1A3 : 39375           29A17332EE3 : 51270           
04A5 - Byte              299D847A1A5 : 2               29A17332EE5 : 12              
04A6 - Byte              299D847A1A6 : 0               29A17332EE6 : 66              
04A7 - Byte              299D847A1A7 : 0               29A17332EE7 : 70              
04A8 - 4 Bytes           299D847A1A8 : 750513632       29A17332EE8 : 1170125046      
04AC - 4 Bytes           299D847A1AC : 32759           29A17332EEC : 32759           
04B0 - 4 Bytes           299D847A1B0 : 755249576       29A17332EF0 : 1181605930      
04B4 - 4 Bytes           299D847A1B4 : 32759           29A17332EF4 : 1178733768      
04B8 - 4 Bytes           299D847A1B8 : 2               29A17332EF8 : 0               
04BC - 4 Bytes           299D847A1BC : 8               29A17332EFC : 0               
04C0 - Pointer           299D847A1C0 : P->00000000     29A17332F00 : P->462D1E2D46680ACA
04C8 - 4 Bytes           299D847A1C8 : 0               29A17332F08 : 1169919952      
04CC - 4 Bytes (Hex)     299D847A1CC : 00000000        29A17332F0C : 00000000        
04D0 - Pointer           299D847A1D0 : P->00000000     29A17332F10 : P->7FF72B7FD78D 
04D8 - 4 Bytes (Hex)     299D847A1D8 : 00000000        29A17332F18 : 466DE02A        
04DC - 4 Bytes           299D847A1DC : 0               29A17332F1C : 1178733768      
04E0 - Byte              299D847A1E0 : 0               29A17332F20 : 246             
04E1 - Byte              299D847A1E1 : 0               29A17332F21 : 176             
04E2 - Byte              299D847A1E2 : 0               29A17332F22 : 190             
04E3 - Byte              299D847A1E3 : 0               29A17332F23 : 69              
04E4 - 4 Bytes           299D847A1E4 : 0               29A17332F24 : 32759           
04E8 - Pointer           299D847A1E8 : P->BF8000000000029A17332F28 : P->46420CC8466DE02A
04F0 - 4 Bytes           299D847A1F0 : 0               29A17332F30 : 0               
04F4 - 4 Bytes           299D847A1F4 : 0               29A17332F34 : 0               
04F8 - 4 Bytes           299D847A1F8 : 0               29A17332F38 : 1181251205      
04FC - 4 Bytes           299D847A1FC : 0               29A17332F3C : 1177461233      
0500 - Pointer           299D847A200 : P->00000000     29A17332F40 : P->45BB8FD0     
0508 - Pointer           299D847A208 : P->00000000     29A17332F48 : P->7FF72B7FD78D 
0510 - 4 Bytes           299D847A210 : 0               29A17332F50 : 1181605930      
0514 - 4 Bytes           299D847A214 : 0               29A17332F54 : 1178733768      
0518 - 4 Bytes           299D847A218 : 0               29A17332F58 : 1170125046      
051C - 4 Bytes           299D847A21C : 0               29A17332F5C : 32759           
0520 - 4 Bytes           299D847A220 : 0               29A17332F60 : 1181605930      
0524 - 4 Bytes           299D847A224 : 0               29A17332F64 : 1178733768      
0528 - 4 Bytes           299D847A228 : 4294967295      29A17332F68 : 0               
052C - 4 Bytes           299D847A22C : 176293385       29A17332F6C : 0               
0530 - 4 Bytes           299D847A230 : 0               29A17332F70 : 1181278880      
0534 - 4 Bytes           299D847A234 : 0               29A17332F74 : 1177560829      
0538 - 4 Bytes           299D847A238 : 0               29A17332F78 : 1169907507      
053C - 4 Bytes           299D847A23C : 0               29A17332F7C : 0               
0540 - 4 Bytes           299D847A240 : 0               29A17332F80 : 729798541       
0544 - 4 Bytes           299D847A244 : 0               29A17332F84 : 32759           
0548 - 4 Bytes           299D847A248 : 0               29A17332F88 : 1181605930      
054C - 4 Bytes           299D847A24C : 0               29A17332F8C : 1178733768      
0550 - 4 Bytes           299D847A250 : 0               29A17332F90 : 1170125046      
0554 - Double            299D847A254 : 0               29A17332F94 : 1.89359370400583E31
055C - Float             299D847A25C : 0               29A17332F9C : 12419.19531     
0560 - 4 Bytes           299D847A260 : 0               29A17332FA0 : 0               
0564 - 4 Bytes           299D847A264 : 0               29A17332FA4 : 0               
0568 - Double            299D847A268 : 1.4128474737848729A17332FA8 : 1.39913007810023E30
0570 - Float             299D847A270 : -6.994708147E16 29A17332FB0 : 5995.899902     
0574 - Double            299D847A274 : 3.3474278540824229A17332FB4 : 3.63949990717419E-99
057C - 4 Bytes           299D847A27C : 32759           29A17332FBC : 32759           
0580 - 4 Bytes           299D847A280 : 750513752       29A17332FC0 : 1181605930      
0584 - 4 Bytes           299D847A284 : 32759           29A17332FC4 : 1178733768      
0588 - 4 Bytes           299D847A288 : 269913984       29A17332FC8 : 1170125046      
058C - 4 Bytes           299D847A28C : 666             29A17332FCC : 32759           
0590 - 4 Bytes           299D847A290 : 3               29A17332FD0 : 1181605930      
0594 - 4 Bytes           299D847A294 : 20              29A17332FD4 : 1178733768      
0598 - Pointer           299D847A298 : P->00000003     29A17332FD8 : P->00000000     
05A0 - Pointer           299D847A2A0 : P->00000000     29A17332FE0 : P->462C4ABD466B61F8
05A8 - 4 Bytes           299D847A2A8 : 0               29A17332FE8 : 1169907507      
05AC - 4 Bytes           299D847A2AC : 0               29A17332FEC : 1177280512      
05B0 - 4 Bytes           299D847A2B0 : 2               29A17332FF0 : 1169936384      
05B4 - 4 Bytes           299D847A2B4 : 0               29A17332FF4 : 32759           
05B8 - 4 Bytes           299D847A2B8 : 0               29A17332FF8 : 1181442552      
05BC - 4 Bytes           299D847A2BC : 0               29A17332FFC : 1177307837      
05C0 - 4 Bytes           299D847A2C0 : 0               29A17333000 : 1169907507      
05C4 - 4 Bytes           299D847A2C4 : 0               29A17333004 : 665             
05C8 - 4 Bytes           299D847A2C8 : 2               29A17333008 : 3211561662      
05CC - 4 Bytes           299D847A2CC : 0               29A1733300C : 3200498843      
05D0 - Pointer           299D847A2D0 : P->00000000     29A17333010 : P->00000000     
05D8 - Float             299D847A2D8 : 0               29A17333018 : 14968.94238     
05DC - Float             299D847A2DC : 0               29A1733301C : 10998.4375      
05E0 - 4 Bytes           299D847A2E0 : 2               29A17333020 : 1169919952      
05E4 - 4 Bytes           299D847A2E4 : 0               29A17333024 : 0               
05E8 - 4 Bytes           299D847A2E8 : 3710674496      29A17333028 : 729798541       
05EC - Double            299D847A2EC : 2.1219961195189329A1733302C : 9.34846378490862E30
05F4 - Float             299D847A2F4 : 5.605193857E-45 29A17333034 : 10961.91309     
05F8 - Float             299D847A2F8 : 0               29A17333038 : 6033.803711     
05FC - Float             299D847A2FC : 0               29A1733303C : 0               
0600 - 4 Bytes           299D847A300 : 0               29A17333040 : 1180532641      
0604 - 4 Bytes           299D847A304 : 0               29A17333044 : 1177241511      
0608 - 4 Bytes           299D847A308 : 0               29A17333048 : 0               
060C - 4 Bytes           299D847A30C : 0               29A1733304C : 0               
0610 - 4 Bytes           299D847A310 : 0               29A17333050 : 1181241767      
0614 - 4 Bytes           299D847A314 : 0               29A17333054 : 1177274201      
0618 - 4 Bytes           299D847A318 : 0               29A17333058 : 1169919952      
061C - 4 Bytes           299D847A31C : 0               29A1733305C : 665             
0620 - 4 Bytes           299D847A320 : 0               29A17333060 : 729798541       
0624 - 4 Bytes           299D847A324 : 0               29A17333064 : 32759           
0628 - 4 Bytes           299D847A328 : 3710670784      29A17333068 : 1180532641      
062C - 4 Bytes           299D847A32C : 665             29A1733306C : 1177241511      
0630 - 4 Bytes           299D847A330 : 2               29A17333070 : 1169985134      
0634 - 4 Bytes           299D847A334 : 4               29A17333074 : 665             
0638 - 4 Bytes           299D847A338 : 3713901824      29A17333078 : 1180532641      
063C - 4 Bytes           299D847A33C : 665             29A1733307C : 1177241511      
